"Au", <-0.101728,0.264654,-0.062748>, 
"Au", <1.923548,1.714845,1.193710>, 
"Au", <1.944213,-1.291691,1.095185>, 
"Au", <-0.002116,-0.008329,2.776546>, 
"Au", <-0.822981,2.493092,1.544342>, 
"Au", <0.603842,2.705103,-1.239956>, 
"Au", <2.365450,0.342124,-1.376790>, 
"Au", <-2.109398,1.857682,-1.188751>, 
"Au", <-0.072694,0.174114,-2.899243>, 
"Au", <0.678878,-2.158727,-1.345808>, 
"Au", <-0.834996,-2.193453,1.102009>, 
"Au", <-2.579306,0.230706,1.224880>, 
"Au", <-2.161940,-1.078220,-1.375344>, 
"Au", <3.988582,2.663375,2.674257>, 
"Au", <3.944204,-2.919540,2.289953>, 
"Au", <0.174081,-0.550836,5.601313>, 
"Au", <-1.427465,4.340496,3.722623>, 
"Au", <1.607681,4.196314,-3.421731>, 
"Au", <4.856794,-0.011545,-2.397915>, 
"Au", <-3.763345,2.449248,-3.410987>, 
"Au", <0.186537,-0.601904,-5.705202>, 
"Au", <1.508338,-4.731055,-2.359211>, 
"Au", <-1.504802,-4.684935,2.297573>, 
"Au", <-4.820129,-0.198631,2.699407>, 
"Au", <-3.956204,-2.843420,-2.384490>, 
"Au", <4.100128,-0.127686,2.565798>, 
"Au", <-3.990987,-0.314314,-3.556457>, 
"Au", <2.174367,1.098109,4.301762>, 
"Au", <-1.841227,-1.887095,-4.251983>, 
"Au", <1.264021,3.587460,3.446324>, 
"Au", <-1.281273,-3.945346,-2.466681>, 
"Au", <2.574240,4.587399,1.238815>, 
"Au", <2.105388,-1.737815,4.004244>, 
"Au", <-1.890631,1.040048,-4.883288>, 
"Au", <-0.644458,1.936459,4.777076>, 
"Au", <0.878072,-2.738698,-4.138267>, 
"Au", <-0.174896,5.240813,1.416835>, 
"Au", <3.393551,2.074872,-3.517900>, 
"Au", <-3.264667,-2.517188,2.580652>, 
"Au", <-4.790025,2.162142,1.227034>, 
"Au", <1.258501,-3.921909,2.366102>, 
"Au", <-1.113123,3.415447,-3.504065>, 
"Au", <-2.419129,-0.395789,4.311475>, 
"Au", <2.587586,-0.456334,-4.261486>, 
"Au", <-2.972268,4.327454,1.418192>, 
"Au", <-0.699198,-2.648124,4.009796>, 
"Au", <0.910888,1.941740,-4.870985>, 
"Au", <-3.162152,2.150533,3.453106>, 
"Au", <3.318329,-2.466130,-2.473168>, 
"Au", <4.595980,1.337446,0.161359>, 
"Au", <3.358871,3.493161,-1.158790>, 
"Au", <1.175073,5.465327,-0.990690>, 
"Au", <-1.553236,4.723242,-1.023083>, 
"Au", <-4.211941,3.728161,-0.987922>, 
"Au", <-4.787884,0.833783,-1.186041>, 
"Au", <-4.537546,-1.613863,0.182698>, 
"Au", <-2.822896,-3.888623,-0.052922>, 
"Au", <-0.019465,-4.769506,-0.048100>, 
"Au", <2.779542,-3.866388,-0.051572>, 
"Au", <4.546674,-1.514140,-0.063140>
