<3.3900001,0.0000000,0.0000000>, 
<3.0969193,1.3788373,0.0000000>, 
<1.0475675,3.2240818,0.0000000>, 
<-0.35435167,3.3714292,0.0000000>, 
<-2.7425678,1.9925919,0.0000000>, 
<-3.3159206,0.70482039,0.0000000>, 
<-2.7425675,-1.9925923,0.0000000>, 
<-1.6949997,-2.9358263,0.0000000>, 
<1.0475681,-3.2240815,0.0000000>, 
<2.2683532,-2.5192606,0.0000000>, 
<2.7425678,1.9925921,1.2297560>, 
<1.6949999,2.9358263,1.2297560>, 
<-1.0475678,3.2240815,1.2297560>, 
<-2.2683530,2.5192609,1.2297560>, 
<-3.3900001,-2.96363226E-07,1.2297560>, 
<-3.0969191,-1.3788376,1.2297560>, 
<-1.0475680,-3.2240815,1.2297560>, 
<0.35435274,-3.3714292,1.2297560>, 
<2.7425685,-1.9925910,1.2297560>, 
<3.3159204,-0.70482087,1.2297560>, 
<1.0475675,3.2240818,2.4595120>, 
<-0.35435167,3.3714292,2.4595120>, 
<-2.7425678,1.9925919,2.4595120>, 
<-3.3159206,0.70482039,2.4595120>, 
<-2.7425675,-1.9925923,2.4595120>, 
<-1.6949997,-2.9358263,2.4595120>, 
<1.0475681,-3.2240815,2.4595120>, 
<2.2683544,-2.5192597,2.4595120>, 
<3.3900001,2.20920447E-06,2.4595120>, 
<3.0969188,1.3788378,2.4595120>, 
<-1.0475678,3.2240815,3.6892681>, 
<-2.2683530,2.5192609,3.6892681>, 
<-3.3900001,-2.96363226E-07,3.6892681>, 
<-3.0969191,-1.3788376,3.6892681>, 
<-1.0475680,-3.2240815,3.6892681>, 
<0.35435274,-3.3714292,3.6892681>, 
<2.7425685,-1.9925910,3.6892681>, 
<3.3159211,-0.70481771,3.6892681>, 
<2.7425659,1.9925946,3.6892681>, 
<1.6949987,2.9358270,3.6892681>, 
<-2.7425678,1.9925919,4.9190240>, 
<-3.3159206,0.70482039,4.9190240>, 
<-2.7425675,-1.9925923,4.9190240>, 
<-1.6949997,-2.9358263,4.9190240>, 
<1.0475681,-3.2240815,4.9190240>, 
<2.2683544,-2.5192597,4.9190240>, 
<3.3900001,2.20920447E-06,4.9190240>, 
<3.0969176,1.3788408,4.9190240>, 
<1.0475639,3.2240829,4.9190240>, 
<-0.35435385,3.3714290,4.9190240>, 
<-3.3900001,-2.96363226E-07,6.1487799>, 
<-3.0969191,-1.3788376,6.1487799>, 
<-1.0475680,-3.2240815,6.1487799>, 
<0.35435274,-3.3714292,6.1487799>, 
<2.7425685,-1.9925910,6.1487799>, 
<3.3159211,-0.70481771,6.1487799>, 
<2.7425659,1.9925946,6.1487799>, 
<1.6949960,2.9358287,6.1487799>, 
<-1.0475723,3.2240801,6.1487799>, 
<-2.2683551,2.5192590,6.1487799>, 
<-2.7425675,-1.9925923,7.3785357>, 
